sample	v_gene	frequency
TUMOR_PRE	TRBV4-3*00	0.0108122253082198
TUMOR_PRE	TRBV5-1*00	0.0773151424680183
TUMOR_PRE	TRBV5-3*00	0.000136788328981879
TUMOR_PRE	TRBV5-4*00	0.00137383060847017
TUMOR_PRE	TRBV5-5*00	0.00133219937791047
TUMOR_PRE	TRBV5-6*00	0.00159982871722284
TUMOR_PRE	TRBV5-8*00	0.00426422747304378
TUMOR_PRE	TRBV6-1*00	0.0126558940901495
TUMOR_PRE	TRBV6-2*00	0.0146066146078041
TUMOR_PRE	TRBV6-4*00	0.00315207888523459
TUMOR_PRE	TRBV6-5*00	0.0169141742445418
TUMOR_PRE	TRBV6-6*00	0.0318657333341263
TUMOR_PRE	TRBV6-7*00	2.37892746055441e-05
TUMOR_PRE	TRBV6-9*00	0.000255734702009599
TUMOR_PRE	TRBV7-2*00	0.0049779057112101
TUMOR_PRE	TRBV7-3*00	0.00262871484391262
TUMOR_PRE	TRBV7-6*00	0.00130841010330493
TUMOR_PRE	TRBV7-7*00	0.000142735647633265
TUMOR_PRE	TRBV7-8*00	0.00889718870247349
TUMOR_PRE	TRBV7-9*00	0.00695241550347026
TUMOR_PRE	TRBV9*00	0.00666694420820373
TUMOR_PROGRESSION	TRBV10-1*00	0.00187777398429498
TUMOR_PROGRESSION	TRBV10-2*00	0.0103126945554596
TUMOR_PROGRESSION	TRBV10-3*00	0.0534312051894845
TUMOR_PROGRESSION	TRBV11-1*00	0.00395637941076055
TUMOR_PROGRESSION	TRBV11-2*00	0.0468941417468319
TUMOR_PROGRESSION	TRBV11-3*00	0.00225935372441909
TUMOR_PROGRESSION	TRBV12-3*00	0.0739963448677525
TUMOR_PROGRESSION	TRBV12-4*00	0.00224931215231057
TUMOR_PROGRESSION	TRBV12-5*00	0.0107645653003434
TUMOR_PROGRESSION	TRBV13*00	0.00288193119514791
TUMOR_PROGRESSION	TRBV14*00	0.0175526680457092
TUMOR_PROGRESSION	TRBV15*00	0.0608720101219047
TUMOR_PROGRESSION	TRBV16*00	0.00163677625369028
TUMOR_PROGRESSION	TRBV18*00	0.0665153736468982
TUMOR_PROGRESSION	TRBV19*00	0.0189785712851204
TUMOR_PROGRESSION	TRBV2*00	0.00949932721466873
TUMOR_PROGRESSION	TRBV20-1*00	0.0276946558753238
TUMOR_PROGRESSION	TRBV23-1*00	0.00216897957544233
TUMOR_PROGRESSION	TRBV24-1*00	0.00502078605426466
TUMOR_PROGRESSION	TRBV25-1*00	0.0194003173136786
TUMOR_PROGRESSION	TRBV27*00	0.0247223505311992
TUMOR_PROGRESSION	TRBV28*00	0.0253850942903621
TUMOR_PROGRESSION	TRBV29-1*00	0.0351354608077441
TUMOR_PROGRESSION	TRBV3-1*00	0.0108549394493202
TUMOR_PROGRESSION	TRBV30*00	0.00464924788624907
TUMOR_PROGRESSION	TRBV4-1*00	0.02929126584058
TUMOR_PROGRESSION	TRBV4-2*00	0.0151326491675537
TUMOR_PROGRESSION	TRBV4-3*00	0.0188982387082522
TUMOR_PROGRESSION	TRBV5-1*00	0.0666559556564176
TUMOR_PROGRESSION	TRBV5-3*00	3.01247163255879e-05
TUMOR_PROGRESSION	TRBV5-4*00	0.00175727511899263
TUMOR_PROGRESSION	TRBV5-5*00	0.00113469764826381
TUMOR_PROGRESSION	TRBV5-6*00	0.00103428192717852
TUMOR_PROGRESSION	TRBV5-8*00	0.00352459181009379
TUMOR_PROGRESSION	TRBV6-1*00	0.0249834314060209
TUMOR_PROGRESSION	TRBV6-2*00	0.0143494065430884
TUMOR_PROGRESSION	TRBV6-3*00	0.000381579740124114
TUMOR_PROGRESSION	TRBV6-4*00	0.0109151888819714
TUMOR_PROGRESSION	TRBV6-5*00	0.0322334464683791
TUMOR_PROGRESSION	TRBV6-6*00	0.0234169461570904
TUMOR_PROGRESSION	TRBV6-7*00	3.01247163255879e-05
TUMOR_PROGRESSION	TRBV6-9*00	0.000251039302713233
TUMOR_PROGRESSION	TRBV7-2*00	0.00841483742694756
TUMOR_PROGRESSION	TRBV7-3*00	0.00359488281485349
TUMOR_PROGRESSION	TRBV7-6*00	0.000682826903379993
TUMOR_PROGRESSION	TRBV7-7*00	8.03325768682345e-05
TUMOR_PROGRESSION	TRBV7-8*00	0.0145602795573675
TUMOR_PROGRESSION	TRBV7-9*00	0.00578394553451288
TUMOR_PROGRESSION	TRBV9*00	0.00643664772156729
